wcaB	rcsB	rcsA	osmB	wcaA	rprA	wzb	wza	bdm	wzc	yjbH	yjbF	yjbE	ftsA	ftsZ	yjbG	sdiA	osmC	sra	csgE	csgD	csgF	ompR	csgG	rstA	cpxR	ompF	csgB	csgA	csgC	ompC	envY	yccA	rseB	ecnB	cheA	dsbA	rdoA	ftnB	tsr	rseA	yqjA	bacA	ydeH	motB	ppiD	cpxP	adrA	iraP	omrB
0.0000000	0.6341041	0.3480071	0.2127427	0.1827340	0.6798437	0.6974412	0.6555878	0.6681903	0.6241680	0.5349180	0.6924305	0.5269460	0.4306866	0.1889688	0.6906844	0.7702384	0.5195056	0.0643779	0.1866670	0.3261383	0.2848343	0.6711069	0.1103626	0.8004213	0.7920379	0.0245849	0.1264854	0.5383429	0.0854981	0.5473246	0.7294677	0.3886639	0.1454151	0.2461952	0.0745310	0.4366446	0.4731263	0.6041700	0.2164890	0.0443334	0.6820039	0.6371875	0.6493122	0.1682880	0.6389393	0.7414875	0.3975760	0.5353548	0.5846409
0.0248946	0.0000000	0.0592848	0.0710666	0.0068605	0.0130129	0.0396650	0.0091645	0.2113552	0.0484196	0.0295736	0.0651135	0.0753665	0.1296720	0.0085723	0.0223076	0.7200934	0.1253468	0.0661331	0.6642016	0.4549683	0.3806223	0.7667945	0.3700666	0.7484017	0.7647174	0.0429464	0.2848424	0.7086198	0.1910814	0.6068401	0.9240120	0.4161458	0.0649613	0.1223297	0.0284751	0.5782780	0.5879871	0.5209291	0.1349319	0.0528616	0.6823656	0.7283727	0.6953481	0.2184211	0.6015998	0.7281825	0.4776242	0.5850550	0.7234716
0.0197301	0.7926815	0.0000000	0.0450421	0.0094195	0.3978110	0.5749778	0.0356477	0.4889526	0.5184176	0.3130999	0.4544034	0.3189745	0.1544993	0.0057122	0.4282286	0.8536626	0.3755405	0.0534499	0.6645823	0.7194505	0.3464866	0.7052053	0.3440973	0.7941302	0.6151966	0.0220264	0.3629797	0.7670388	0.2773771	0.5879051	0.6289633	0.4600884	0.1130026	0.1536228	0.0744751	0.5148636	0.6047665	0.5296962	0.0750794	0.0331663	0.7216371	0.5964313	0.7524658	0.1432925	0.7084658	0.6648617	0.5258477	0.6899852	0.5586580
0.6641112	0.7570720	0.5078866	0.0000000	0.2765685	0.4898351	0.5100058	0.6446419	0.7736005	0.5254175	0.5620978	0.5872927	0.5038459	0.4408171	0.2227764	0.7201582	0.6904649	0.5925557	0.0645854	0.1910021	0.3207694	0.2949972	0.8413512	0.0853525	0.8176884	0.6200069	0.0285434	0.1441190	0.5591313	0.0748031	0.6445362	0.6818991	0.4321381	0.0829550	0.1876942	0.0681912	0.4630897	0.5762325	0.5516856	0.0934716	0.0314865	0.6876019	0.5444224	0.7528049	0.1936213	0.7648404	0.6803920	0.2745179	0.6364364	0.5677025
0.5727765	0.7077639	0.4381498	0.2203706	0.0000000	0.6301353	0.7695151	0.6513830	0.6824764	0.4503390	0.4552545	0.6141843	0.5221325	0.4174025	0.1866327	0.8085090	0.7546266	0.5078739	0.1086129	0.2093412	0.3855067	0.3267538	0.8218525	0.0690563	0.6155501	0.8673892	0.0087698	0.1750726	0.6150534	0.1471953	0.7161098	0.6830471	0.4560264	0.1139723	0.2122880	0.1137426	0.4035290	0.4863517	0.5847925	0.1160677	0.0450717	0.6861856	0.5389353	0.7189304	0.1564682	0.5548387	0.7622548	0.3745809	0.5585247	0.5572296
0.8544997	0.8125660	0.3728839	0.2128613	0.1805632	0.0000000	0.7883434	0.6242912	0.8500779	0.6076926	0.4601485	0.7427665	0.5247000	0.4277457	0.2373049	0.7522609	0.6755080	0.6116991	0.0588018	0.1312069	0.2427396	0.2579843	0.7363424	0.1007290	0.8360884	0.6797242	0.0147531	0.1012186	0.6205879	0.0909259	0.7023607	0.8004363	0.5376928	0.0919110	0.2619784	0.0581322	0.4789508	0.5105973	0.4908109	0.1423744	0.0205566	0.6835546	0.5261647	0.6749905	0.1681839	0.6192699	0.8809134	0.3481295	0.6668320	0.6989007
0.8083157	0.6786000	0.3626960	0.2676530	0.1901891	0.5692762	0.0000000	0.6863807	0.6050173	0.5023193	0.5301105	0.5997219	0.5614102	0.3862540	0.2290418	0.6909187	0.7793522	0.6549177	0.0732922	0.1551204	0.3420239	0.3402607	0.8708849	0.1326794	0.7278857	0.7217311	0.0155729	0.1205657	0.6806054	0.0899245	0.7526640	0.7782760	0.4591973	0.0977621	0.1376504	0.0544932	0.4100561	0.5251472	0.5931089	0.1444229	0.0657576	0.7436329	0.5133208	0.7140910	0.2102922	0.5760910	0.7727344	0.3754981	0.5577302	0.6807154
0.7480194	0.7837515	0.4168750	0.2095143	0.2789732	0.6019214	0.5969207	0.0000000	0.8027757	0.5167806	0.5975890	0.6268189	0.4812737	0.4702339	0.1705310	0.6242034	0.6897532	0.5945417	0.0705710	0.1315580	0.3367991	0.1879951	0.6615651	0.0563984	0.6795520	0.6747038	0.0070812	0.1655857	0.5231080	0.0589888	0.6560829	0.8070989	0.5079257	0.0444194	0.1517294	0.0587317	0.4700069	0.4914728	0.8108525	0.1759543	0.0339733	0.7105251	0.5948063	0.8344153	0.1753021	0.7309687	0.8567779	0.3980700	0.4304288	0.6208254
0.8253487	0.6932148	0.3733781	0.3091851	0.3486981	0.4747817	0.6758120	0.5397806	0.0000000	0.6557625	0.4725326	0.5550600	0.4676567	0.3989243	0.2015878	0.7491662	0.7120849	0.5914580	0.1069560	0.0870241	0.3477423	0.2666906	0.6378801	0.0797495	0.7486023	0.7105096	0.0063892	0.1010807	0.5073621	0.0550803	0.6065566	0.7579572	0.4447583	0.0595381	0.1986227	0.0453354	0.5326218	0.6142916	0.4515007	0.1134190	0.0466713	0.7577139	0.6487385	0.6378968	0.1858299	0.6872945	0.8355882	0.3448437	0.3887359	0.5663288
0.8559077	0.7316355	0.4177616	0.3240794	0.2444847	0.6564143	0.7178484	0.5663608	0.7979210	0.0000000	0.4729710	0.6853092	0.4573310	0.5169076	0.2424143	0.6350760	0.7570075	0.6625838	0.1540916	0.1595039	0.3030445	0.2645712	0.6970936	0.0471983	0.6945379	0.6869072	0.0194703	0.0819959	0.5302965	0.0812314	0.5589757	0.6942832	0.4482748	0.1247269	0.1600695	0.1106191	0.4758385	0.5437831	0.5227448	0.1239338	0.0430131	0.6383370	0.5735943	0.7416482	0.2127304	0.6951658	0.7277159	0.4333399	0.5329876	0.6885396
